Latitude,Longitude,Stop Name,Stop Status
40.687599,-73.938583,GATES AV/MARCUS GARVEY BL,at stop
40.699265,-73.911298,PALMETTO ST/WYCKOFF AV,at stop
40.687444,-73.959461,GREENE AV/CLASSON AV,at stop
40.689129,-73.981511,FULTON ST/FLATBUSH AV EXT,at stop
40.687102,-73.96243,GREENE AV/GRAND AV,approaching
40.687212,-73.941904,GATES AV/THROOP AV,approaching
40.691176,-73.986642,FULTON ST/JAY ST,approaching
40.69226,-73.91935,GATES AV/EVERGREEN AV,approaching
40.698575,-73.913146,GATES AV/IRVING AV,approaching
40.691768,-73.988124,FULTON ST/SMITH ST,approaching
40.694474,-73.990576,CADMAN PZ W/TILLARY ST,approaching
40.690914,-73.985987,FULTON ST/JAY ST,approaching
40.687063,-73.943213,GATES AV/THROOP AV,< 1 stop away
